,newid,year,franchiseid_clean,bank,pp_type,latitud,longitud,province,district_str,matching_accuracy,num_transac,PROVINCE,PROVINCE_0,bank_district,counter,dup,bank_cat,payment_method,start_date,n_beneficiaries,BVS_district,_merge,BVS_group,start_date_pp,end_date_pp,treatment_dt,pp_active
104468,22914.0,2018,,UBL,POS,34.04494857788086,72.95540618896484,,HARIPUR,3.0,,,N.W.F.P.,ALFALAH,2011.0,0.0,1.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,0.0
104490,22919.0,2015,,UBL,POS,27.38058090209961,67.9110107421875,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104493,22919.0,2018,243003,UBL,POS,27.38058090209961,67.9110107421875,Sind,LARKANA,3.0,4018.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104500,22921.0,2015,,UBL,POS,26.043603897094727,68.94583892822266,,SANGHAR,3.0,,,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104503,22921.0,2018,243025,UBL,POS,26.043603897094727,68.94583892822266,Sind,SANGHAR,3.0,5892.0,Sind,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104510,22923.0,2015,,UBL,POS,26.043603897094727,68.94583892822266,,SANGHAR,3.0,,,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104513,22923.0,2018,243095,UBL,POS,26.043603897094727,68.94583892822266,Sind,SANGHAR,3.0,2158.0,Sind,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104610,22943.0,2015,,UBL,POS,27.60970497131348,67.99374389648438,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104613,22943.0,2018,244078,UBL,POS,27.60970497131348,67.99374389648438,Sind,LARKANA,3.0,3770.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104625,22946.0,2015,,UBL,POS,25.113449096679688,70.25658416748047,,THARPARKAR,3.0,,,Sind,UBL,16041.0,0.0,6.0,BVS,2017-03-25,62495.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104628,22946.0,2018,244146,UBL,POS,25.113449096679688,70.25658416748047,Sind,THARPARKAR,3.0,4437.0,Sind,Sind,UBL,16041.0,0.0,6.0,BVS,2017-03-25,62495.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104630,22947.0,2015,,UBL,POS,25.825857162475586,69.37728881835938,,SANGHAR,3.0,,,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104633,22947.0,2018,244174,UBL,POS,25.825857162475586,69.37728881835938,Sind,SANGHAR,3.0,3133.0,Sind,Sind,UBL,12252.0,0.0,6.0,BVS,2017-03-25,77978.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104645,22950.0,2015,,UBL,POS,27.38326072692871,67.91546630859375,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104648,22950.0,2018,244208,UBL,POS,27.38326072692871,67.91546630859375,Sind,LARKANA,3.0,1861.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104665,22955.0,2015,,UBL,POS,29.645959854125977,70.5919418334961,,RAJANPUR,3.0,,,Punjab,UBL,10910.0,0.0,6.0,BVS,2017-12-25,58979.0,1.0,matched (3),3.0,2015-07-01,2016-06-30,0.0,0.0
104668,22955.0,2018,244366,UBL,POS,29.645959854125977,70.5919418334961,Punjab,RAJANPUR,3.0,414.0,Punjab,Punjab,UBL,10910.0,0.0,6.0,BVS,2017-12-25,58979.0,1.0,matched (3),3.0,2018-07-01,2019-06-30,1.0,1.0
104730,22968.0,2015,,UBL,POS,24.6042537689209,68.07756042480469,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104733,22968.0,2018,245419,UBL,POS,24.6042537689209,68.07756042480469,Sind,THATTA,3.0,6870.0,Sind,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104805,22983.0,2015,,UBL,POS,27.55782699584961,68.2047348022461,,LARKANA,4.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
104808,22983.0,2018,246865,UBL,POS,27.55782699584961,68.2047348022461,Sind,LARKANA,4.0,3942.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
104855,22994.0,2015,,UBL,POS,27.589418411254883,68.00440979003906,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
